SEASONAL,SALES TYPE,BUSINESS_DATE,STORE_ID,YEAR,MONTH,DAYOFWEEK,DAY_PART,TICKET_NUM,SALES_AMOUNT,HOP_OUT_TIME,AVE_SALE_PER_ORDER,AVE_SALE_PER_SERVICE_MINUTE
Cold Season,Drive Through Window,2015-11-08 00:00:00,4818,2015,11,07-Sunday,03-Snack,49,455.9100000000001,2.6489795918367354,9.304285714285715,3.512403697996918
Cold Season,Drive Through Window,2015-11-08 00:00:00,4818,2015,11,07-Sunday,04-Dinner,93,833.96,3.6763440860215053,8.967311827956989,2.439192746417081
Cold Season,Drive Through Window,2015-11-08 00:00:00,4818,2015,11,07-Sunday,05-Late Night Snack,32,269.06,4.1000000000000005,8.408125,2.050762195121951
Cold Season,Drive Through Window,2015-11-09 00:00:00,4818,2015,11,01-Monday,01-Breakfast,79,450.68,2.221898734177215,5.704810126582278,2.5675383125391673
Cold Season,Drive Through Window,2015-11-09 00:00:00,4818,2015,11,01-Monday,02-Lunch,121,776.9300000000004,2.389586776859504,6.4209090909090945,2.6870374213183945
Cold Season,Drive Through Window,2015-11-09 00:00:00,4818,2015,11,01-Monday,03-Snack,45,283.3199999999999,2.8646666666666674,6.295999999999998,2.1978124272748416
Cold Season,Drive Through Window,2015-11-09 00:00:00,4818,2015,11,01-Monday,04-Dinner,63,612.6300000000001,3.0800000000000005,9.724285714285717,3.157235621521336
Cold Season,Drive Through Window,2015-11-09 00:00:00,4818,2015,11,01-Monday,05-Late Night Snack,41,333.8399999999999,2.9475609756097563,8.142439024390242,2.762432767894083
Cold Season,Drive Through Window,2015-11-10 00:00:00,4818,2015,11,02-Tuesday,01-Breakfast,82,434.37000000000006,2.3495121951219513,5.29719512195122,2.254593584553099
Cold Season,Drive Through Window,2015-11-10 00:00:00,4818,2015,11,02-Tuesday,02-Lunch,149,1008.05,2.668523489932886,6.765436241610738,2.535273257714846
Cold Season,Drive Through Window,2015-11-10 00:00:00,4818,2015,11,02-Tuesday,03-Snack,70,419.03000000000003,2.326,5.986142857142857,2.573578184498219
Cold Season,Drive Through Window,2015-11-10 00:00:00,4818,2015,11,02-Tuesday,04-Dinner,94,739.8700000000001,2.160744680851063,7.870957446808512,3.642705922898924
Cold Season,Drive Through Window,2015-11-10 00:00:00,4818,2015,11,02-Tuesday,05-Late Night Snack,23,208.17000000000004,2.2369565217391307,9.050869565217393,4.0460641399416915
Cold Season,Drive Through Window,2015-11-11 00:00:00,4818,2015,11,03-Wednesday,01-Breakfast,66,334.72000000000014,2.3824242424242423,5.071515151515154,2.128720427372171
Cold Season,Drive Through Window,2015-11-11 00:00:00,4818,2015,11,03-Wednesday,02-Lunch,87,565.2400000000002,2.6113793103448284,6.4970114942528765,2.487961618028963
Cold Season,Drive Through Window,2015-11-11 00:00:00,4818,2015,11,03-Wednesday,03-Snack,43,277.81000000000006,3.2039534883720933,6.460697674418606,2.016476736589969
Cold Season,Drive Through Window,2015-11-11 00:00:00,4818,2015,11,03-Wednesday,04-Dinner,63,634.7800000000002,3.974444444444445,10.07587301587302,2.5351651423778914
Cold Season,Drive Through Window,2015-11-11 00:00:00,4818,2015,11,03-Wednesday,05-Late Night Snack,25,175.64999999999998,3.2780000000000005,7.025999999999999,2.1433801098230623
Cold Season,Drive Through Window,2015-11-12 00:00:00,4818,2015,11,04-Thursday,01-Breakfast,87,477.2800000000002,2.857931034482758,5.485977011494255,1.9195624195624208
Cold Season,Drive Through Window,2015-11-12 00:00:00,4818,2015,11,04-Thursday,02-Lunch,113,697.6199999999998,2.116991150442478,6.173628318584069,2.9162277401555046
Cold Season,Drive Through Window,2015-11-12 00:00:00,4818,2015,11,04-Thursday,03-Snack,51,361.78000000000003,1.9921568627450976,7.093725490196079,3.5608267716535447
Cold Season,Drive Through Window,2015-11-12 00:00:00,4818,2015,11,04-Thursday,04-Dinner,103,883.89,3.208640776699029,8.581456310679611,2.6744833429150656
Cold Season,Drive Through Window,2015-11-12 00:00:00,4818,2015,11,04-Thursday,05-Late Night Snack,41,354.94999999999993,4.805853658536586,8.65731707317073,1.8014108810393823
Cold Season,Drive Through Window,2015-11-13 00:00:00,4818,2015,11,05-Friday,01-Breakfast,94,522.6099999999999,2.4235106382978717,5.5596808510638285,2.294060840173829
Cold Season,Drive Through Window,2015-11-13 00:00:00,4818,2015,11,05-Friday,02-Lunch,122,772.2700000000002,2.683524590163934,6.330081967213117,2.3588686276306556
Cold Season,Drive Through Window,2015-11-13 00:00:00,4818,2015,11,05-Friday,03-Snack,58,363.65999999999985,2.3767241379310344,6.269999999999998,2.638084874863982
Cold Season,Drive Through Window,2015-11-13 00:00:00,4818,2015,11,05-Friday,04-Dinner,96,831.6300000000002,2.861770833333333,8.662812500000003,3.027081134204493
Cold Season,Drive Through Window,2015-11-13 00:00:00,4818,2015,11,05-Friday,05-Late Night Snack,66,641.8100000000003,3.151818181818182,9.724393939393943,3.0853283338140574
Cold Season,Drive Through Window,2015-11-14 00:00:00,4818,2015,11,06-Saturday,01-Breakfast,78,466.61,2.5553846153846145,5.982179487179487,2.341009432069036
Cold Season,Drive Through Window,2015-11-14 00:00:00,4818,2015,11,06-Saturday,02-Lunch,132,1110.520000000001,2.867878787878787,8.41303030303031,2.9335376162299274
Cold Season,Drive Through Window,2015-11-14 00:00:00,4818,2015,11,06-Saturday,03-Snack,64,466.5300000000001,2.5015624999999995,7.289531250000001,2.9139912554653353
Cold Season,Drive Through Window,2015-11-14 00:00:00,4818,2015,11,06-Saturday,04-Dinner,105,940.43,2.680095238095238,8.95647619047619,3.341849969794961
Cold Season,Drive Through Window,2015-11-14 00:00:00,4818,2015,11,06-Saturday,05-Late Night Snack,63,639.07,3.2293650793650786,10.143968253968255,3.141164905382159
Cold Season,Drive Through Window,2015-11-15 00:00:00,4818,2015,11,07-Sunday,01-Breakfast,71,476.0300000000001,2.799718309859155,6.704647887323945,2.3947580239460713
Cold Season,Drive Through Window,2015-11-15 00:00:00,4818,2015,11,07-Sunday,02-Lunch,134,1004.8400000000006,2.5214925373134327,7.498805970149259,2.973955250384754
Cold Season,Drive Through Window,2015-11-15 00:00:00,4818,2015,11,07-Sunday,03-Snack,49,353.50000000000006,2.8187755102040812,7.214285714285715,2.559368664929048
Cold Season,Drive Through Window,2015-11-15 00:00:00,4818,2015,11,07-Sunday,04-Dinner,79,898.4800000000002,3.7950632911392397,11.373164556962028,2.996831326506789
